cycle,range_bin,doppler_bin,output_hex
2639165000,20,29,ff7f0017
2639175000,20,30,0055ffd4
2639185000,20,31,0002002b
2641065000,21,0,fff80004
2641075000,21,1,000affce
2641085000,21,2,ffb6ffc8
2641095000,21,3,00ec00a6
2641105000,21,4,febc01c3
2641115000,21,5,0006fcb0
2641125000,21,6,00bd00f4
2641135000,21,7,feefffed
2641145000,21,8,026c00ec
2641155000,21,9,fd9afef6
2641165000,21,10,00a800ee
2641175000,21,11,0100ff02
2641185000,21,12,ff580109
2641195000,21,13,ffeaff78
2641205000,21,14,ffddffc2
2641215000,21,15,00210057
2643095000,21,16,fffbfff1
2643105000,21,17,00400028
2643115000,21,18,ff7bff7c
2643125000,21,19,00c800d9
2643135000,21,20,fe15ff5e
2643145000,21,21,01d7ff3e
2643155000,21,22,002d0102
2643165000,21,23,fefbff8a
2643175000,21,24,01d7ff73
2643185000,21,25,ffd00060
2643195000,21,26,ff6d00d6
2643205000,21,27,0024ff21
2643215000,21,28,ffe9ffd2
2643225000,21,29,ffd500ba
2643235000,21,30,00dbff60
2643245000,21,31,ff7d0014
2645125000,22,0,fff0ffec
2645135000,22,1,ffec0034
2645145000,22,2,00400009
2645155000,22,3,ff2fff1a
2645165000,22,4,018801b9
2645175000,22,5,fe6efd7a
2645185000,22,6,01f301d0
2645195000,22,7,fe9e008f
2645205000,22,8,0128ff10
2645215000,22,9,fe4c0022
2645225000,22,10,ff800047
2645235000,22,11,01c9ff78
2645245000,22,12,fff80083
2645255000,22,13,feeeffc8
2645265000,22,14,0085ffa0
2645275000,22,15,0006004f
2647155000,22,16,000ffffc
2647165000,22,17,fff90036
2647175000,22,18,ffacff9d
2647185000,22,19,fffb009e
2647195000,22,20,ff90ff68
2647205000,22,21,022bff5c
2647215000,22,22,fea900c9
2647225000,22,23,ff15004c
2647235000,22,24,0175fdf6
2647245000,22,25,007f01c0
2647255000,22,26,ff64ff5b
2647265000,22,27,005f00c0
2647275000,22,28,002cff8a
2647285000,22,29,ff21ffce
2647295000,22,30,00770073
2647305000,22,31,fffdff9e
2649185000,23,0,fffdfffc
2649195000,23,1,000bff97
2649205000,23,2,ffe6003a
2649215000,23,3,002900cd
2649225000,23,4,ff96fe2f
2649235000,23,5,00470231
2649245000,23,6,ff8cfdfe
2649255000,23,7,0096000b
2649265000,23,8,ffa301fa
2649275000,23,9,0091ff4b
2649285000,23,10,fed60022
2649295000,23,11,012fff9f
2649305000,23,12,ff5aff4b
2649315000,23,13,00990115
2649325000,23,14,ff88ff46
2649335000,23,15,00360051
2651215000,23,16,fffd0011
2651225000,23,17,00600021
2651235000,23,18,ff4ffff1
2651245000,23,19,00c7ffae
2651255000,23,20,ff290132
2651265000,23,21,00fdff63
2651275000,23,22,fee4ffb7
2651285000,23,23,0060007f
2651295000,23,24,ffbbffb9
2651305000,23,25,006effe9
2651315000,23,26,ff89017d
2651325000,23,27,ff3dfee4
2651335000,23,28,0123ff90
2651345000,23,29,000d0017
2651355000,23,30,ffc80167
2651365000,23,31,ffccfef3
2653245000,24,0,ffeaff9f
2653255000,24,1,ffbe0034
2653265000,24,2,00c70018
2653275000,24,3,fedaffdc
2653285000,24,4,01420002
2653295000,24,5,fe46006e
2653305000,24,6,0245fe7f
2653315000,24,7,feec00e4
2653325000,24,8,004c007f
2653335000,24,9,ffcaffd6
2653345000,24,10,feef0128
2653355000,24,11,00d0fe0c
2653365000,24,12,00200108
2653375000,24,13,ffeaff80
2653385000,24,14,000dffa1
2653395000,24,15,001200b4
2655275000,24,16,0003ffec
2655285000,24,17,001b0003
2655295000,24,18,ffee006e
2655305000,24,19,ffdcff17
2655315000,24,20,0005006a
2655325000,24,21,0060ff53
2655335000,24,22,ffd20124
2655345000,24,23,fecafee4
2655355000,24,24,02bb005e
2655365000,24,25,fdcdff03
2655375000,24,26,01a200bc
2655385000,24,27,ff24016d
2655395000,24,28,ffcdfe00
2655405000,24,29,014c006b
2655415000,24,30,ff76010e
2655425000,24,31,000aff54
2657305000,25,0,ffdcffdc
2657315000,25,1,ffebff76
2657325000,25,2,006800cd
2657335000,25,3,ff4fff66
2657345000,25,4,00810116
2657355000,25,5,0013fe40
2657365000,25,6,0009006e
2657375000,25,7,000c0134
2657385000,25,8,ff4afec2
2657395000,25,9,007b021e
2657405000,25,10,ff1efdc1
2657415000,25,11,0063000c
2657425000,25,12,019900c4
2657435000,25,13,fe83ffe0
2657445000,25,14,0001ff7c
2657455000,25,15,007600b6
2659335000,25,16,0003ffc8
2659345000,25,17,00a9006b
2659355000,25,18,ff6bffe0
2659365000,25,19,ffc8ffe9
2659375000,25,20,feec007c
2659385000,25,21,021fff29
2659395000,25,22,fee8fffd
2659405000,25,23,ffabffc3
